folder,folder_idx,picked_images,top1_species,top1_score,top5_species,top5_scores,status_code,error
190_08167_agrifolia,190,54a943e2-df03-4240-af3c-415a1eca291f.jpg;bfdb1aa6-6458-48b1-9e50-efd74646a894.jpg;f89938c7-c0b1-4c26-bbec-701130bd24ac.jpg,Quercus agrifolia,0.92614,Quercus agrifolia;Quercus suber;Phillyrea latifolia;Quercus rotundifolia;Quercus virginiana,0.92614;0.25165;0.07684;0.0693;0.06923,200,
191_08168_alba,191,be43e920-c4dc-40b1-8720-8e93096ac665.jpg;ed5e2eb2-3d4c-4b05-b6a7-e92639a9eadf.jpg;d4faa63a-5384-4385-8cfb-30ba0d9379fb.jpg,Quercus alba,0.80287,Quercus alba;Quercus cerris;Quercus macrocarpa;Quercus gambelii;Quercus rubra,0.80287;0.32824;0.06438;0.05386;0.04475,200,
192_08169_berberidifolia,192,298210c2-3bc0-4642-9d0f-ac99fea27352.jpg;529079b3-4886-424c-8cc3-b7ece35504d2.jpg;f85960a8-a4b9-43fd-80b5-225694e12614.jpg,Quercus faginea,0.29004,Quercus faginea;Quercus berberidifolia;Quercus dumosa;Quercus coccifera;Quercus palmeri,0.29004;0.25482;0.21489;0.20401;0.03974,200,
193_08170_bicolor,193,71276357-94bd-4dbd-b72e-b1455b13ac5d.jpg;cd49634d-6618-4b40-b121-a2464994d1a2.jpg;8169ab9b-3a57-482e-af48-724276f812a7.jpg,Quercus bicolor,0.35614,Quercus bicolor;Quercus macrocarpa;Quercus michauxii;Quercus fabrei;Quercus aliena,0.35614;0.11698;0.10027;0.07561;0.0635,200,
194_08171_buckleyi,194,783bf795-bab2-4179-84f2-2da52c824f7b.jpg;a3500f7a-6cd4-41dd-8700-7f81c1d101c5.jpg;fd873411-000f-4ec4-9557-61eba8bd6d3f.jpg,Quercus palustris,0.58509,Quercus palustris;Quercus rubra;Quercus velutina;Quercus shumardii;Quercus macrocarpa,0.58509;0.23959;0.1993;0.14191;0.06814,200,
195_08172_chrysolepis,195,cec39984-15bd-48ba-b60f-5a2a467223cf.jpg;5edc58cb-e65b-4e90-b466-6cff433feaa4.jpg;ad251efa-7bd3-4cfd-b8c9-45beb349de47.jpg,Quercus chrysolepis,0.97636,Quercus chrysolepis;Quercus ilex;Quercus fusiformis;Quercus faginea;Quercus virginiana,0.97636;0.28885;0.05192;0.02921;0.02113,200,
196_08173_coccifera,196,208c720a-c796-463d-9373-d7835adfe630.jpg;ed827ade-3063-449b-8931-9a7d382a2029.jpg;ee600159-6773-4c9d-ba9a-02ee6f52985a.jpg,Quercus coccifera,0.96436,Quercus coccifera;Phillyrea latifolia;Quercus faginea;Quercus trojana;Quercus phillyreoides,0.96436;0.12671;0.0563;0.05402;0.03927,200,
197_08174_coccinea,197,6ba96732-179b-4b01-a150-94ef08746e94.jpg;bee4110a-bb03-4f98-9412-a1beebed564f.jpg;04933155-c701-47ec-be03-7ec0d9b3a916.jpg,Quercus palustris,0.63278,Quercus palustris;Quercus coccinea;Quercus rubra;Quercus velutina;Quercus shumardii,0.63278;0.21744;0.17187;0.16753;0.06964,200,
198_08175_cornelius-mulleri,198,85af128d-d79a-43f1-9842-e90339876a16.jpg;417c92e1-d323-4929-b8f3-cafc31098ab8.jpg;5d0cabb1-0f98-4fa3-bebf-264bd382e30e.jpg,Quercus cornelius-mulleri,0.54478,Quercus cornelius-mulleri;Quercus coccifera;Quercus turbinella;Quercus berberidifolia;Quercus aucheri,0.54478;0.49788;0.34082;0.08939;0.08252,200,
199_08176_douglasii,199,734b7050-c293-43f7-9351-4bf49846e86e.jpg;45d7bab6-ad8f-414d-990b-d40660ca728d.jpg;85415161-0458-421f-82dc-6a6138a0a541.jpg,Quercus douglasii,0.80424,Quercus douglasii;Quercus pubescens;Quercus faginea;Quercus engelmannii;Quercus robur,0.80424;0.27756;0.1185;0.08164;0.07079,200,
200_08177_durata,200,1901a69c-9afe-495f-9d0d-5cba7ad16844.jpg;87f4d9c0-2c7b-4685-a22c-7f52b92f7566.jpg;826ced71-0b92-445c-bc08-3708e8f8c0f4.jpg,Quercus durata,0.86231,Quercus durata;Quercus coccifera;Quercus berberidifolia;Alnus alnobetula;Baccharis pilularis,0.86231;0.16008;0.14762;0.05964;0.0555,200,
201_08178_emoryi,201,f11de634-4c50-47fd-a29c-59f9665403f5.jpg;c1fb5eb9-4b98-4d88-9b43-f5cec2bcd4f0.jpg;57ba2b00-6172-4af0-98cc-7e47069af8b6.jpg,Quercus emoryi,0.45291,Quercus emoryi;Quercus faginea;Quercus saltillensis;Quercus ilex;Quercus parvula,0.45291;0.27947;0.18369;0.16187;0.07307,200,
202_08179_engelmannii,202,eae538c5-083b-40d7-9a8a-bfef7f3db93d.jpg;deafd159-7c1b-42d4-a17c-d236145312b8.jpg;34859e9b-4c49-484d-a257-4d8a5a81f0de.jpg,Quercus suber,0.55537,Quercus suber;Quercus grisea;Quercus engelmannii;Quercus turbinella;Lonicera caerulea,0.55537;0.32227;0.1636;0.12801;0.09589,200,
203_08180_falcata,203,d9d0d06c-b46e-4502-9b59-cbecc6e1df23.jpg;eb80cf3c-4238-4533-a307-f31cb90cebc9.jpg;1f086816-591d-4d84-8238-3481b18c9279.jpg,Quercus falcata,0.90447,Quercus falcata;Quercus rubra;Quercus bicolor;Quercus cerris;Quercus macrocarpa,0.90447;0.25177;0.11704;0.10035;0.08455,200,
204_08181_fusiformis,204,eaccea6f-dc50-4925-a76a-d81c34fea133.jpg;ea2fc922-2c9c-494a-bfd9-32bb5021c849.jpg;869efb27-efda-410c-a00a-70cc4de6f40b.jpg,Quercus fusiformis,0.41146,Quercus fusiformis;Maytenus ilicifolia;Quercus suber;Olea europaea;Quercus canbyi,0.41146;0.06807;0.06483;0.05979;0.05624,200,
205_08182_gambelii,205,61d1ef1f-a9a5-4465-9729-4706acaf4df5.jpg;44aee96e-7ff9-468e-9e85-cb9227680956.jpg;9b3526c1-7a18-4e96-8499-fc2872d5d54e.jpg,Quercus gambelii,0.85906,Quercus gambelii;Quercus pyrenaica;Quercus turbinella;Quercus havardii;Quercus alba,0.85906;0.56186;0.30928;0.18935;0.06218,200,
206_08183_garryana,206,22889176-14d5-4617-928c-d354e3d820a2.jpg;7c269d04-1102-4bbc-a161-a9ad10361eca.jpg;8dc04f8c-3fd7-49e6-ac39-31fa5189fd9d.jpg,Quercus pubescens,0.26491,Quercus pubescens;Quercus garryana;Pyrus spinosa;Quercus robur;Quercus pyrenaica,0.26491;0.21322;0.1448;0.10175;0.07554,200,
207_08184_geminata,207,18f2a9dc-1c5b-4ba4-a636-69453dc5bbf8.jpg;0e6a2454-6b1d-4f45-9022-76a24f9f7d1d.jpg;221f1d67-01cc-4ea0-86a2-e4e3cca57671.jpg,Quercus geminata,0.78402,Quercus geminata;Quercus virginiana;Rhamnus lycioides;Searsia pentaphylla;Schinus longifolia,0.78402;0.74842;0.19084;0.07746;0.01755,200,
208_08185_ilex,208,66ec9189-fb05-4d7b-9adc-212293e24329.jpg;694e187f-87f8-432a-bd8c-fc0473dbdc33.jpg;e9001b3d-283a-4fec-9471-afe48b49d9f6.jpg,Quercus ilex,0.94057,Quercus ilex;Quercus agrifolia;Quercus suber;Quercus lanata;Taxus contorta,0.94057;0.09836;0.08982;0.05803;0.04758,200,
209_08186_ilicifolia,209,bf4d206c-b74a-4832-83a2-86f647c62bcd.jpg;c00acb89-fef3-4b65-be4e-16846a7367a6.jpg;5090aaf7-86a2-4e30-bde9-f0a6d127b114.jpg,Quercus ilicifolia,0.79552,Quercus ilicifolia;Quercus velutina;Quercus marilandica;Quercus rubra;Quercus gravesii,0.79552;0.18268;0.17747;0.08641;0.08188,200,
210_08187_imbricaria,210,1afb3870-27ff-4e72-bdcd-3a82b1297001.jpg;3e4abe81-8e39-4bb0-aa92-1c3ea3aea226.jpg;9068315e-b9cf-4b49-96c3-23c810493b10.jpg,Quercus imbricaria,0.98828,Quercus imbricaria;Castanea sativa;Quercus petraea;Salix atrocinerea;Quercus nigra,0.98828;0.04529;0.03667;0.02205;0.01752,200,
211_08188_kelloggii,211,f39d624e-64f6-442c-9d00-d41f27f60a68.jpg;46ecff23-82c8-43cc-9c92-31f559519ef7.jpg;9e6351ff-da80-4ce4-b19c-b54a730396a7.jpg,Quercus kelloggii,0.44351,Quercus kelloggii;Quercus lobata;Quercus pubescens;Quercus rubra;Quercus velutina,0.44351;0.21475;0.19616;0.17483;0.14912,200,
212_08189_laevis,212,67ba56bd-39cb-41f7-bb16-7c07f5ac5b13.jpg;a193cefc-5b2b-4427-a2d8-27d46aaaa8ab.jpg;e911185e-9d1f-408b-be5a-f7ab91db96fc.jpg,Quercus laevis,0.41069,Quercus laevis;Quercus nigra;Quercus velutina;Quercus falcata;Quercus pyrenaica,0.41069;0.14624;0.11652;0.09313;0.08244,200,
213_08190_lobata,213,fc4d3f15-5cd7-4085-a424-4e09e65a0224.jpg;9ef503a1-b5aa-4e25-8937-4154122263a8.jpg;bc71ca4c-6cad-494a-8c84-f1de58911467.jpg,Quercus lobata,0.81003,Quercus lobata;Quercus engelmannii;Quercus macrocarpa;Quercus suber;Quercus cerris,0.81003;0.29615;0.18429;0.14594;0.08096,200,
214_08191_macrocarpa,214,38b35d2b-cfb7-4d2e-bc75-07c2f184db0a.jpg;8ffab105-7802-4e6a-ab10-36f3aa2ae7ed.jpg;c6af3686-d2af-46be-97eb-28efb0137e43.jpg,Quercus macrocarpa,0.75561,Quercus macrocarpa;Quercus stellata;Quercus dentata;Quercus robur;Quercus frainetto,0.75561;0.12708;0.05113;0.0393;0.02716,200,
215_08192_marilandica,215,16576cf8-a85d-4735-a0b2-958b4f80e794.jpg;31adc24a-7464-4aa0-a45d-6022d933df41.jpg;075d95dc-82e6-49a6-873a-585ebe891ba9.jpg,Quercus marilandica,0.95026,Quercus marilandica;Quercus stellata;Quercus nigra;Quercus robur;Conopholis americana,0.95026;0.25199;0.09764;0.06941;0.06241,200,
216_08193_michauxii,216,fab69a31-5489-47c6-ab95-9a16a59cf011.jpg;c5915bce-66c2-4ace-b328-79fbd049059d.jpg;a6110853-6b37-4022-bc7a-593c1a59f8fa.jpg,Quercus bicolor,0.7369,Quercus bicolor;Quercus michauxii;Castanea dentata;Quercus macrocarpa;Quercus aliena,0.7369;0.13491;0.09546;0.08831;0.07274,200,
217_08195_muehlenbergii,217,90cd308c-02bf-4dae-8631-47679338ec7d.jpg;20b7346b-2293-42e4-aaa9-d7252a02fd05.jpg;4ea5f27a-d3bf-4661-8abc-e94c92652cb9.jpg,Quercus muehlenbergii,0.79313,Quercus muehlenbergii;Quercus castaneifolia;Castanea dentata;Quercus michauxii;Castanea sativa,0.79313;0.27529;0.07915;0.04869;0.04042,200,
218_08196_nigra,218,8ce4a738-51eb-41b9-b3c7-362f44ed7e74.jpg;4380799d-b210-4ae6-907c-d83e74ca4710.jpg;eb171a3d-544f-4d92-8deb-5611510c1e5e.jpg,Quercus nigra,0.88062,Quercus nigra;Quercus marilandica;Quercus alba;Quercus laurifolia;Quercus falcata,0.88062;0.12578;0.03603;0.01691;0.01152,200,
219_08197_palustris,219,2ec1fb99-2d60-4bd1-93ca-605b7552d5de.jpg;19ead817-9c1b-453f-82b2-cbb3a197b1e6.jpg;ddbada0f-5bd4-445f-b695-b98d0efc66e1.jpg,Quercus palustris,0.70417,Quercus palustris;Quercus rubra;Quercus coccinea;Quercus texana;Quercus shumardii,0.70417;0.08943;0.03858;0.03406;0.03373,200,
220_08198_phellos,220,eb18de53-121c-4ca1-a26a-346f4c7569d8.jpg;f5d7de0f-bd1a-47e0-9fcf-4eb38197b7e8.jpg;df6957c5-1ff1-4d5f-a8bd-51a346f70a71.jpg,Quercus phellos,0.99525,Quercus phellos;Cyclamen purpurascens;Tiarella cordifolia;Arisaema triphyllum;Cyclamen hederifolium,0.99525;0.02726;0.02622;0.01948;0.01905,200,
221_08199_robur,221,b3985ad2-56d4-4df5-868c-a82ac0c10f0c.jpg;bc9c4ed0-2e52-43d8-bf44-5e804dc57bae.jpg;75e509eb-482d-4681-8fb4-e69f25580f8f.jpg,Quercus robur,0.71937,Quercus robur;Quercus canariensis;Quercus frainetto;Quercus pubescens;Quercus petraea,0.71937;0.13087;0.09171;0.08579;0.0554,200,
222_08200_rotundifolia,222,a808003e-39be-4b56-9945-dad34229d0ad.jpg;d47c7bf1-6b02-4f55-8240-0017f600ed0d.jpg;71994fb3-e775-4d80-a44e-98cb50cd1f80.jpg,Quercus ilex,0.73647,Quercus ilex;Quercus rotundifolia;Quercus suber;Quercus ithaburensis;Quercus agrifolia,0.73647;0.1856;0.1347;0.04721;0.03337,200,
223_08201_rubra,223,ee293c9f-a70a-45ca-8efb-47dd6ca81c93.jpg;d4eb6af5-0966-4926-a866-b295389ccba0.jpg;20103560-294b-4820-aeab-fdd4ca53dd1c.jpg,Quercus rubra,0.56668,Quercus rubra;Quercus velutina;Quercus shumardii;Quercus coccinea;Quercus palustris,0.56668;0.33799;0.13238;0.04758;0.04299,200,
224_08202_shumardii,224,7ef7a5df-1484-4cd1-b3b3-6bb9e1af1920.jpg;fc26de59-873f-4531-ab0d-427f405fe489.jpg;984b1b3c-5528-490a-b326-512a5bee592c.jpg,Quercus shumardii,0.34651,Quercus shumardii;Acer rubrum;Quercus rubra;Quercus velutina;Quercus texana,0.34651;0.32518;0.26538;0.24318;0.17098,200,
225_08203_sinuata,225,ab5081a9-35bc-4006-a95f-17184ed6283f.jpg;bf0fd0c4-defb-4cf7-a48f-1a36fd51bbe1.jpg;1b99aca9-d216-4399-b9d9-3dc151ccc8e7.jpg,Quercus sinuata,0.39546,Quercus sinuata;Quercus nigra;Quercus austrina;Ulmus crassifolia;Quercus pubescens,0.39546;0.13398;0.10079;0.1002;0.06275,200,
226_08204_stellata,226,574572ae-0724-4603-b694-b5ad2e2f54b1.jpg;b758e2fc-086f-49fc-98b5-f2eb54d4d9bf.jpg;1ab4a1d0-13db-4ab3-a40f-c7c40092ec70.jpg,Quercus stellata,0.77098,Quercus stellata;Quercus robur;Quercus macrocarpa;Quercus similis;Quercus nigra,0.77098;0.18277;0.09564;0.06528;0.05246,200,
227_08205_suber,227,27a838e8-3af7-4b6a-b7c1-aa0a81000058.jpg;1656aa3f-2825-416a-a3d1-d2f84c295f1d.jpg;e8ce3a1d-c52b-4a03-8e8f-119582710434.jpg,Quercus suber,0.86109,Quercus suber;Quercus ilex;Quercus faginea;Quercus rotundifolia;Eucalyptus cinerea,0.86109;0.10456;0.00907;0.00349;0.00268,200,
228_08207_velutina,228,759e5397-752f-4a14-998c-177bcf769b25.jpg;b72d101c-f595-4a26-9097-f00af63ad4f8.jpg;1101614e-137d-448d-8812-20e383584f7e.jpg,Quercus rubra,0.48381,Quercus rubra;Quercus macrocarpa;Quercus velutina;Quercus alba;Quercus kelloggii,0.48381;0.35129;0.17882;0.1378;0.11256,200,
229_08208_virginiana,229,8ccb518f-b299-4a6d-958a-2996b8d6702e.jpg;f076b35f-dec9-4d31-a041-6fde9a211f1e.jpg;2a388f02-195d-4a08-b0c6-9974b7162663.jpg,Quercus geminata,0.90686,Quercus geminata;Quercus virginiana;Quercus ilex;Quercus fusiformis;Pistacia atlantica,0.90686;0.71016;0.32206;0.13558;0.03309,200,
230_08209_wislizeni,230,4fa50e9c-55d5-40af-aaba-ea76f488f3d5.jpg;61f15ccc-00bb-4bc6-90f0-899ebe838eb0.jpg;339a861e-83cb-4426-94d1-a8643edd32f8.jpg,Quercus coccifera,0.60054,Quercus coccifera;Quercus chrysolepis;Quercus ilex;Quercus wislizeni;Quercus faginea,0.60054;0.56786;0.1626;0.12318;0.0786,200,
231_08210_cordiformis,231,9489a6d4-bf10-4d9e-b91a-288559e4de29.jpg;562830b9-50bb-49cc-92df-3e562f96b7da.jpg;10cad9e7-57ad-44df-b6de-7a0e0592556a.jpg,Carya illinoinensis,0.41082,Carya illinoinensis;Carya glabra;Carya cordiformis;Paulownia tomentosa;Terminalia catappa,0.41082;0.31784;0.10863;0.09656;0.07035,200,
232_08211_glabra,232,54cc587a-571a-4224-ad27-1314fff1b766.jpg;68beb605-7ce3-40f1-a7d2-b1d80229fa3c.jpg;ea3870b6-3839-42ad-a8fb-71366b585429.jpg,Carya glabra,0.78368,Carya glabra;Heritiera littoralis;Corymbia calophylla;Carya pallida;Carya ovata,0.78368;0.16446;0.05871;0.0562;0.05064,200,
233_08212_illinoinensis,233,15c68183-4ff8-48d1-af9f-b40b06146fcf.jpg;06df7bd6-e1ec-4fb9-8b00-fac20004fe01.jpg;903e356d-e48e-4720-aff1-2b42a8f42fd1.jpg,Carya illinoinensis,0.96903,Carya illinoinensis;Zanthoxylum clava-herculis;Pistacia terebinthus;Juglans nigra;Tipuana tipu,0.96903;0.20231;0.11951;0.07413;0.0576,200,
234_08213_ovata,234,5f6155b2-8a40-4b82-9bb3-78ce2688ec34.jpg;3844e75e-2a15-465e-ab4f-0d7f6a0c5a00.jpg;6772618c-554b-4fa7-844c-d170fb28f743.jpg,Carya ovata,0.92956,Carya ovata;Castanea sativa;Quercus macrocarpa;Prunus serotina;Pterocarya fraxinifolia,0.92956;0.2546;0.2361;0.09031;0.05149,200,
235_08214_tomentosa,235,c70417c7-ca56-4d3c-92a9-ef361f3f7a99.jpg;aaeff1fd-a5e5-4899-902a-3e0ac204d947.jpg;4967a9e4-3330-4e00-a8fd-3894faa76f6a.jpg,Carya glabra,0.37639,Carya glabra;Carya ovata;Viburnum lantanoides;Liriodendron tulipifera;Magnolia virginiana,0.37639;0.34605;0.19107;0.09197;0.06502,200,
236_08215_californica,236,0f5c5be2-4417-435a-b4de-04a08dd50cbc.jpg;4a4a9727-ff1b-4457-b778-c8128d8f3ddf.jpg;2112506f-7bd4-4c65-bf3f-70180aaa9985.jpg,,,,,404,http_404
237_08216_cinerea,237,1fff89a2-d89f-4423-9e9a-51a0edb712df.jpg;639cd402-e08b-44a6-ae17-24bbf7184e73.jpg;f3f59fa9-3e1d-44bc-8761-d09054116a64.jpg,Juglans cinerea,0.41201,Juglans cinerea;Juglans nigra;Juglans regia;Carya glabra;Juglans major,0.41201;0.27959;0.10839;0.03725;0.03058,200,
238_08217_nigra,238,93b9f46c-7cfa-49f2-a607-3813463c6d3b.jpg;f3fb172d-c1a0-4403-bbcf-2242e8813bc4.jpg;17572c7c-3863-4f83-87e5-9f934c1152a9.jpg,Juglans nigra,0.93731,Juglans nigra;Quercus robur;Juglans regia;Quercus petraea;Juglans cinerea,0.93731;0.1301;0.09654;0.04825;0.03704,200,
239_08218_regia,239,04e41df9-fbe8-4af4-8b37-8efd04648b9c.jpg;9786a31e-faf4-4e63-8eb1-3f95ca3e4bbf.jpg;b72fad45-eb84-4689-855e-8a2cfe8a58f8.jpg,Juglans regia,0.99224,Juglans regia;Juglans nigra;Juglans mandshurica;Juglans cinerea;Aesculus flava,0.99224;0.01268;0.01058;0.00973;0.0018,200,
240_08219_peregrina,240,d82c2cbf-9882-4b9b-87d7-61dd92fdffa6.jpg;846f11a7-6b07-4cfc-a10e-706b3910ed0d.jpg;07e36c53-fef4-4276-b6c2-a1527aeab15f.jpg,Comptonia peregrina,0.98469,Comptonia peregrina;Quercus cerris;Lyonothamnus floribundus;Corchorus neocaledonicus;Tragia ramosa,0.98469;0.00826;0.00309;0.00287;0.00135,200,
241_08221_cerifera,241,f604ddec-6d27-4471-99ff-8c32f7e20994.jpg;ccd3105a-b623-485e-a9c6-499d5d6a5c90.jpg;f6f2dd54-f894-4930-9779-7539a21dd744.jpg,Myrica cerifera,0.81122,Myrica cerifera;Myrica caroliniensis;Myrica californica;Myrica pensylvanica;Myrica gale,0.81122;0.11649;0.01231;0.01219;0.01056,200,
242_08222_pensylvanica,242,f01eb031-8920-4801-8c56-a678448b61b8.jpg;2258c897-e289-4a22-8ed6-4696461b9312.jpg;8d4110ef-cbfc-4bb6-9f77-9663da1705ae.jpg,Myrica cerifera,0.8549,Myrica cerifera;Hippophae rhamnoides;Myrica pensylvanica;Ilex verticillata;Myrica gale,0.8549;0.31111;0.08102;0.04582;0.04577,200,
243_08223_gale,243,70173ddc-48e9-42ed-8b40-47c9106e76d1.jpg;12c62fa5-f1f5-47b7-aff2-02e75c589fee.jpg;7c59c863-0a2b-4a60-9f4a-af41bd8a894b.jpg,Myrica gale,0.88554,Myrica gale;Baccharis halimifolia;Salix cinerea;Lathyrus tuberosus;Baccharis salicina,0.88554;0.07869;0.01562;0.01556;0.01417,200,
244_08224_cliffortioides,244,84f09a3d-e00e-421c-bb31-540681771875.jpg;87f98eaa-402f-4ad6-9d48-c03045fee7a7.jpg;16f8e1cd-9071-4fc7-b232-989a90e4a1e4.jpg,Nothofagus solandri,0.93678,Nothofagus solandri;Nothofagus antarctica;Quercus cerris;Nothofagus dombeyi;Nothofagus pumilio,0.93678;0.12342;0.07903;0.05602;0.05026,200,
245_08225_menziesii,245,0b850c8c-efa4-4112-83fe-0fe2a2823138.jpg;9db5dfe6-4813-4eb0-ae84-7750976eae53.jpg;742aaa06-323f-494c-a25b-ae66f9bf223e.jpg,Nothofagus menziesii,0.69889,Nothofagus menziesii;Betula nana;Buxus sempervirens;Myrsine africana;Nothofagus antarctica,0.69889;0.0248;0.02258;0.01879;0.01605,200,
246_08226_elliptica,246,2c266f61-d8d7-4cd2-98e5-1780b358fb64.jpg;3a1fea8a-6a77-49f2-a9dc-8d2538677a9a.jpg;3b94b0d6-2db3-471d-9f95-b16b474fdcd9.jpg,Garrya elliptica,0.94574,Garrya elliptica;Garrya veatchii;Garrya fremontii;Weinmannia pubescens;Garrya × issaquahensis,0.94574;0.07395;0.01439;0.01137;0.01044,200,
247_08287_sempervirens,247,bd6138f6-a3fb-46a4-b268-65ddab4357ca.jpg;a6fed914-99e2-46fa-ac89-e895a23d7c09.jpg;649c42fe-8c65-438b-bb92-d7987ad28e27.jpg,Gelsemium sempervirens,0.93512,Gelsemium sempervirens;Allamanda cathartica;Jasminum mesnyi;Gelsemium rankinii;Aureolaria flava,0.93512;0.06608;0.05701;0.05293;0.03365,200,
248_08317_ligustrifolium,248,449b3f11-9f9c-47f8-9181-e2f8615d7f50.jpg;ae3c86c3-7cad-4fb4-938b-877b53c47da3.jpg;ae049633-35ef-46df-aa6a-f0786e7880c5.jpg,Backhousia myrtifolia,0.23759,Backhousia myrtifolia;Stellaria nemorum;Nyctanthes arbor-tristis;Stellaria aquatica;Abelia × grandiflora,0.23759;0.06924;0.05316;0.04408;0.04368,200,
249_08392_tinctoria,249,e0281ea3-c2ff-49ed-bdf6-d08e14df0ef6.jpg;417f1393-58f8-4df1-877f-924d0ee9a54f.jpg;2e36b22b-cfde-4f43-814c-26e951e4733e.jpg,Gunnera tinctoria,0.69754,Gunnera tinctoria;Gunnera manicata;Selaginella tenuissima;Gunnera insignis;Gunnera aequatoriensis,0.69754;0.16157;0.01802;0.01368;0.01302,200,
250_08414_speciosa,250,eceb5e7d-c272-449b-9c4c-eae7447e62a1.jpg;71a2e89c-64eb-4c22-8750-7966d6c09a7b.jpg;3a7e8d38-beaf-419c-ad88-a3fbf2cffee4.jpg,Catalpa speciosa,0.78415,Catalpa speciosa;Catalpa bignonioides;Catalpa × erubescens;Catalpa ovata;Catalpa bungei,0.78415;0.51546;0.17675;0.11145;0.04791,200,
251_08416_cujete,251,53842281-9b76-4a2c-9e25-9808c97d1e3f.jpg;c60ba2fb-174a-481d-a74a-077ea5e82442.jpg;901e49b9-5091-4ecd-9761-6b66273d016e.jpg,Crescentia cujete,0.9898,Crescentia cujete;Securidaca longepedunculata;Pachypodium saundersii;Ochetophila trinervis;Hybanthus yucatanensis,0.9898;0.08415;0.03493;0.02245;0.02054,200,
252_08417_mimosifolia,252,9c45b042-74f7-4c04-b5ed-30c025cdf4d7.jpg;195620a7-5b16-49b7-b6ad-edbc74a8f047.jpg;ed1897ea-f5ae-43f2-938d-997c83cbb329.jpg,Jacaranda mimosifolia,0.89596,Jacaranda mimosifolia;Jacaranda caucana;Peltophorum africanum;Peltophorum dubium;Leucaena leucocephala,0.89596;0.02618;0.01055;0.00575;0.00449,200,
253_08418_campanulata,253,b05efb51-e0f8-42ae-8b89-cca735f3f386.jpg;274482bb-ca37-4904-83ae-89dbfe6e363a.jpg;e2145619-d979-4b48-8f3d-73418a617f4e.jpg,Spathodea campanulata,0.92041,Spathodea campanulata;Markhamia stipulata;Fernandoa magnifica;Stereospermum fimbriatum;Mayodendron igneum,0.92041;0.02383;0.00782;0.00399;0.00388,200,
254_08419_rosea,254,d48e07be-7325-44a8-ac97-ce62cb003fd1.jpg;dd4c9e78-b2dd-4d51-ba9a-d1f480b59e4b.jpg;f556a9fb-349a-4419-ae93-1f4781f6efca.jpg,Tabebuia roseoalba,0.93484,Tabebuia roseoalba;Tabebuia heterophylla;Tabebuia rosea;Handroanthus impetiginosus;Lecythis pisonis,0.93484;0.43451;0.1315;0.042;0.02758,200,
255_08420_stans,255,e4dcb032-96aa-471e-8f4c-57070810a428.jpg;6ee298ef-e1de-42e2-a48c-6f03e163ecd0.jpg;ed3c3912-4257-40d8-8106-53870a5af6df.jpg,Tecoma stans,0.95492,Tecoma stans;Allamanda cathartica;Allamanda schottii;Markhamia lutea;Roseodendron chryseum,0.95492;0.00709;0.00237;0.00187;0.00175,200,
256_08432_formosana,256,fd114c61-5a59-441c-8642-7b81d8fde98f.jpg;c0536efd-67b7-4008-b5ef-74611fc40a6d.jpg;53dd472c-2bd6-43d9-bf6c-6ae6e7824c7f.jpg,Callicarpa formosana,0.46712,Callicarpa formosana;Callicarpa pedunculata;Callicarpa candicans;Callicarpa arborea;Lagerstroemia speciosa,0.46712;0.38166;0.00824;0.00296;0.00135,200,
257_08527_lucens,257,e677a601-841c-431f-9f01-b8fe9cdd5d9f.jpg;18cc7caa-e6ab-4cbe-9e6d-9d029dd110f6.jpg;5c2c3112-4a3b-4985-82be-98e8f7bb5089.jpg,Vitex lucens,0.64275,Vitex lucens;Handroanthus serratifolius;Tabebuia rosea;Radermachera sinica;Harpullia pendula,0.64275;0.06182;0.0493;0.04873;0.04838,200,
258_08543_virginicus,258,dc8ebf36-e293-49a0-8086-b0b1e3777157.jpg;f657b9cc-5306-4830-b43e-480a75ffbca4.jpg;6baa389a-01af-4ff7-834e-e2e683a27b99.jpg,Chionanthus virginicus,0.84748,Chionanthus virginicus;Chionanthus pygmaeus;Fraxinus ornus;Chionanthus retusus;Fraxinus cuspidata,0.84748;0.03397;0.02868;0.01696;0.00539,200,
259_08546_americana,259,ee3e8dd0-75fd-41f6-a081-bfec495ec234.jpg;a4ef52f6-a175-4186-9350-54ed5ef37917.jpg;3694df85-8f0f-4f6b-ae34-339c1f710cb8.jpg,Fraxinus americana,0.33367,Fraxinus americana;Oxydendrum arboreum;Quercus robur;Aralia spinosa;Acer saccharum,0.33367;0.17831;0.11274;0.09249;0.08484,200,
260_08547_excelsior,260,cc0f6ee4-20e5-48ca-9252-691d4e0e8757.jpg;01470ffd-4ca5-4e2e-a08d-f604d77f8eff.jpg;c5d9a78f-cfdb-4456-b3da-cb6ad5716bdf.jpg,Fraxinus excelsior,0.39776,Fraxinus excelsior;Fraxinus mandshurica;Fraxinus angustifolia;Ailanthus altissima;Rhus copallinum,0.39776;0.25499;0.20736;0.09585;0.06432,200,
261_08548_latifolia,261,059d93bf-5b6e-4ee5-9f52-2b5126c41569.jpg;82c3d945-913a-4ec4-af00-d79076b876e7.jpg;fcf4e7da-f8f2-4e12-af98-8cad762e83aa.jpg,Fraxinus latifolia,0.30978,Fraxinus latifolia;Fraxinus americana;Acer rubrum;Fraxinus albicans;Fagus grandifolia,0.30978;0.26132;0.16173;0.09484;0.08506,200,
